一级阶段,二级环节,三级细分项,单点式提问,场景化提问（Agent 对话场景）,触发场景与原因,是否提供科研数据
,,S (Study design)：研究设计,能不能帮我找一个工作量小、好发的选题？,我临床太忙没太多时间，能不能给我推荐一个工作量小、容易中的选题方向？,医生临床工作繁忙，科研时间极少，核心诉求是用最少的精力快速产出论文。,否（方案规划阶段）
,文献检索与综述,目的：确认新颖性、重要性、可行性,怎么快速判断我的选题有没有人做过？会不会撞题？,我想做糖尿病肾病预后的研究，怎么快速查有没有人做过？怕重复了白忙活。,医生刚产生一个临床想法，不确定是否已有同类研究，担心做重复工作。,否（方案规划阶段）
,,目的：确认新颖性、重要性、可行性,怎么证明我的研究有临床价值，不是重复劳动？,同方向已经有人做过了，我怎么体现自己的研究价值？不会被说重复吧？,医生知道选题已有相关研究，但认为自己有新角度，不确定如何体现差异化价值。,否（方案规划阶段）
,,目的：确认新颖性、重要性、可行性,选题已经有人做过了，还能再发吗？怎么找新角度？,这个方向已经有人发过核心了，我还能再做吗？从哪找新的切入点？,医生心仪的研究方向已有大量研究，不想完全放弃，希望找到创新切入点。,否（方案规划阶段）
,,数据库：PubMed、WoS 等,查文献必须覆盖哪些数据库才够全面？只查 PubMed 行不行？,写 Meta 分析只查 PubMed 够吗？还必须查哪些数据库？,医生准备写引言或做 Meta 分析，不清楚文献检索的规范要求。,否（方案规划阶段）
,,数据库：PubMed、WoS 等,英文文献读不懂、读不完，有没有高效的方法？,英文文献太多读不完，有没有什么高效的方法快速抓重点？,医生英文基础薄弱，临床工作忙没时间大量精读文献。,否（通用方法咨询）
,,数据库：PubMed、WoS 等,中文文献要不要查？会不会拉低研究档次？,投 SCI 的话，引用中文文献会不会拉低档次？可以不查中文吗？,医生准备投 SCI 期刊，担心中文文献引用过多会让审稿人觉得研究不够前沿。,否（方案规划阶段）
,,产出：明确研究缺口,怎么从文献里找到真正的研究缺口？,文献看了几十篇，还是找不到创新点，怎么从中找出研究缺口？,医生读了大量文献但仍找不到明确的创新点，不知道如何提炼有价值的研究问题。,否（方案规划阶段）
,,产出：明确研究缺口,研究缺口是不是必须写进引言里？,引言里必须明确写出研究缺口吗？不写行不行？,医生第一次写论文，不清楚引言的写作逻辑和必备要素。,否（写作规范咨询）
,,产出：明确研究缺口,我的研究缺口很小，会不会被说创新性不足？,我的创新点不大，就是扩大了样本量，会不会被说创新性不够发不了核心？,医生的选题属于增量创新，没有重大突破，担心达不到目标期刊的创新性要求。,是（已有初步研究方案）
,,产出：明确研究缺口,综述能不能用来评职称？和论著比分值差多少？,没时间做原始研究，写一篇综述评职称行不行？和论著比哪个分值高？,医生没时间做原始研究，想写综述凑成果，不确定单位评审的认可度。,否（方案规划阶段）
,,产出：明确研究缺口,写 Meta 分析必须注册吗？不注册能不能发？,Meta 分析一定要注册吗？不注册能不能投核心期刊？,医生准备写 Meta 分析，不清楚注册要求，担心未注册影响投稿。,否（方案规划阶段）
,确定研究设计 / 关键点,研究类型,回顾性队列和病例对照研究有什么区别？我该选哪种？,我有病案和随访数据，做回顾性队列还是病例对照？两者有啥区别？,医生对观察性研究的分类理解模糊，手里有病案数据但不知道该归类为哪种设计。,是（已有病案随访数据）
,,研究类型,真实世界研究好不好发？和普通回顾性研究差别在哪？,现在真实世界研究很火，我这回顾性数据算不算真实世界研究？好不好发？,真实世界研究是近年热点，医生想蹭热点提升命中率，但不清楚其与常规回顾性研究的区别。,是（已有回顾性数据）
,,研究类型,病例报告 / 病例系列能不能用来评职称？认可度高吗？,我遇到一例罕见病例，写病例报告能用来评中级吗？单位认不认？,医生遇到罕见 / 特殊病例，工作量小想快速成文，但不确定单位职称评审是否认可。,是（已有单病例资料）
,,研究类型,Meta 分析算不算论著？单位评职称认不认？,Meta 分析算论著吗？评副高能不能用？,医生计划写 Meta 分析快速产出成果，担心单位不认可。,否（方案规划阶段）
,,研究类型,诊断性研究和预后研究哪个更容易出成果？,我有病理和检验数据，做诊断性研究还是预后研究更容易出成果？,医生手头有检验 / 病理数据，想选一个产出快、难度低的方向。,是（已有检验病理数据）
,,样本量估算,样本量怎么算？有没有简单的工具 / 公式？,样本量怎么计算？有没有简单的工具可以直接用？我不会统计软件。,医生不懂统计，不知道样本量估算的方法，担心样本量不够被拒稿。,否（方案规划阶段）
,,样本量估算,样本量不够会不会直接被拒稿？最少要多少例？,我只有 80 多例样本，做回顾性研究会不会太少？会不会直接被拒稿？,医生手头病例数有限，担心达不到期刊要求，提前预判发表风险。,是（已有病例数据）
,,样本量估算,实际样本量比估算的少，怎么补救？会不会影响结论？,本来估算要 150 例，实际只收集到 110 例，不够怎么办？会不会影响结论？,数据收集完成后发现病例数不达预期，医生担心研究报废，想知道补救方法。,是（已收集完数据）
,,主、次要终点 / 观察指标,主要终点选什么最稳妥？不容易出阴性结果？,主要结局选什么不容易出阴性结果？我怕做出来没统计学意义白忙活。,医生希望得到阳性结果提升发表概率，在指标选择上倾向于容易出阳性的类型。,否（方案规划阶段）
,,主、次要终点 / 观察指标,观察指标设太多会不会显得研究很散？,我想加好几个观察指标，会不会显得研究很散、没重点？,医生想尽可能多地纳入指标丰富内容，但担心指标过多导致研究缺乏重点。,否（方案规划阶段）
,,主、次要终点 / 观察指标,能不能等结果出来再定主要终点？,我先跑数据，哪个指标有阳性结果就定哪个当主要终点行不行？,医生预实验或初步分析发现原定主要终点是阴性，想换成阳性的指标，抱有侥幸心理。,是（已有初步统计结果）
,,主、次要终点 / 观察指标,亚组分析可以提前预设吗？还是只能事后做？,亚组分析是提前定好，还是结果出来后再做？做多了会不会被说 P 值钓鱼？,医生想通过亚组分析增加研究内容，但不清楚规范，担心事后亚组分析被质疑。,否（方法规范咨询）
,,主、次要终点 / 观察指标,做真实世界研究，是不是数据量越大越好？,真实世界研究是不是样本量越大越好？我有 1000 例是不是就能发高分？,医生认为大数据 = 高质量，觉得样本量越大越容易发高分，不清楚核心是数据质量与混杂控制。,是（已有大样本数据）
执行与数据收集 (Execution & Data Collection),伦理审批与临床试验注册,-,回顾性研究要不要过伦理？能不能申请免伦理？,回顾性研究还用不用过伦理？能不能申请豁免知情同意？,医生认为回顾性研究用的是既往病历，不需要伦理审批，又怕投稿时被要求提供批件。,否（合规流程咨询）
,,-,临床试验注册是强制的吗？不注册能不能投稿？,前瞻性研究必须注册吗？不注册能不能投 SCI？,医生开展前瞻性研究，觉得注册流程繁琐，想跳过，同时担心不注册会被期刊直接拒稿。,否（合规流程咨询）
,,-,伦理申请怎么写更容易通过？有没有模板？,伦理申请怎么写容易过？有没有通用模板可以参考？,医生第一次提交伦理申请，不熟悉医院伦理委员会的要求和流程。,否（合规流程咨询）
,,-,研究做一半了，还能补伦理吗？,我数据都快收完了才想起没走伦理，现在还能补吗？,医生事先没意识到需要伦理审批，数据都收集得差不多了，才发现投稿需要伦理批件。,是（已收集部分数据）
,,-,病例报告需要伦理审批和患者知情同意吗？,写病例报告需要伦理审批吗？要不要找患者签知情同意？,医生写病例报告时，不确定是否需要走伦理流程和获得患者同意，怕涉及隐私侵权。,是（已有病例资料）
,,-,数据已经匿名化了，是不是就可以不用过伦理了？,我把患者信息都匿名去掉了，是不是就不用过伦理了？,医生认为只要去掉个人信息就合规，对伦理审查的要求理解片面，想简化流程。,是（已完成数据匿名化）
,数据收集工具与质量控制,-,用 Excel 收数据行不行？还是必须用专业 EDC 系统？,小样本研究用 Excel 录数据行不行？还是必须用专业的 EDC 系统？,小样本研究，医生不想花成本用专业系统，不确定 Excel 是否能满足期刊对数据质量的要求。,否（工具选择咨询）
,,-,怎么保证数据录入不出错？有什么质控方法？,手工录数据怎么保证不出错？有什么简单的质控方法？,医生知道数据质量是研究基础，担心手工录入出错导致最终结果不可靠。,是（正在录入数据）
,,-,数据来源不一样（病历、检验、影像），怎么统一标准？,病历、检验、影像系统的数据对不上，以哪个为准？怎么统一标准？,多系统提取的数据格式、定义不一致，医生无法直接合并分析。,是（已有多源数据）
,,-,从医院系统导出数据，需要走什么审批流程？,从医院信息科导出病历数据，需要走什么审批？会不会违规？,医生担心私自导出病历数据违反医院信息安全规定，承担合规风险。,否（合规流程咨询）
,,-,数据可以带回家处理吗？会不会泄露患者隐私？,医院太忙，我能把数据带回家晚上处理吗？会不会涉及隐私泄露？,医生临床忙，想带回家利用业余时间处理数据，但担心数据泄露违反隐私保护规定。,是（已有待处理数据）
,患者招募与随访,-,患者招募太慢，有没有提速的办法？,患者招募进度太慢了，赶不上计划，有没有什么提速的办法？,前瞻性研究招募进度滞后，担心无法在截止日期前完成样本量。,否（执行阶段问题）
,,-,失访率控制在多少以内是期刊可接受的？,随访失访了大概 20%，会不会太多？期刊一般能接受多少失访率？,随访研究中出现患者失访，医生担心失访率过高被审稿人质疑结果可靠性。,是（已有随访数据）
,,-,随访时间不够长，会不会影响研究结论？,随访才 2 年就想写论文，会不会时间太短结论不可靠？,时间紧张，医生想提前结束随访写论文，但担心随访不足导致结论不被认可。,是（已有部分随访数据）
,数据清洗与管理,-,临床数据很乱，怎么规范整理成可分析的格式？,原始病历数据乱七八糟的，怎么整理成能做统计分析的格式？,原始病历数据零散、不规范，医生不懂数据结构化方法，无法直接用于统计分析。,是（已有原始病历数据）
,,-,患者信息怎么脱敏才合规？不会涉及隐私泄露？,患者信息脱敏要做到什么程度？去掉姓名病历号就够了吗？,医生清楚患者隐私保护的重要性，但不知道脱敏的标准和边界。,是（有待脱敏数据）
,,-,数据里有很多错误值、矛盾值，怎么处理？,数据里有很多前后矛盾的地方，是直接删掉还是修正？,数据提取后发现大量质量问题，医生不知道处理原则，怕随意修改影响结果真实性。,是（已有原始数据）
数据分析 - 预处理 / 特征工程,数据处理与清洗,数据录入与核对,双录入有必要吗？太费时间了能不能省？,双录入太费时间了，我只录一遍行不行？会不会有问题？,医生觉得双录入工作量大，临床时间紧张，想省略该步骤，又担心数据错误影响结果。,是（正在录入数据）
,,数据录入与核对,录完数据怎么快速核对有没有错误？,录完数据怎么快速查错？一条一条核对太费时间了。,手工录入完数据，医生想高效排查错误，不想逐条人工核对浪费时间。,是（已完成数据录入）
,,缺失值处理,缺失率多少以内是安全的？不会被审稿人挑？,数据有 15% 左右的缺失，会不会太多？审稿人会不会挑毛病？,数据存在缺失，医生不确定缺失程度是否在可接受范围内，会不会成为审稿人的攻击点。,是（已有待分析数据）
,,缺失值处理,缺失值是直接删掉还是填补？用什么方法填补最合适？,缺失值是直接删掉还是填补？用哪种方法比较规范？,医生不清楚缺失值处理的规范方法，怕处理不当引入偏倚，被审稿人质疑。,是（已有待分析数据）
,,缺失值处理,关键指标缺失很多，这个变量还能用吗？,核心结局指标缺失了 20%，这个变量还能用来分析吗？,核心研究变量缺失严重，医生纠结是放弃该变量还是想办法补救。,是（已有待分析数据）
,,异常值与极端值处理,怎么判断数据是异常值还是真实极端值？,数据里有几个特别极端的数值，怎么判断是录错了还是真实情况？,数据中出现极端数值，医生无法区分是录入错误还是真实情况，怕处理错误影响结果。,是（已有待分析数据）
,,异常值与极端值处理,异常值直接删掉会不会影响结果？有没有更稳妥的处理方式？,异常值直接删掉会不会影响结果？有没有更严谨的处理方法？,医生知道随意删除数据不严谨，但又不知道其他处理方法，想找到合规又稳妥的方案。,是（已有待分析数据）
,,变量转换与衍生,数据不符合正态分布一定要转换吗？,数据不符合正态分布，是做数据转换还是直接用非参数检验？,统计检验发现数据不服从正态分布，医生不确定是转换数据还是换用非参数检验。,是（已有待分析数据）
,,变量转换与衍生,连续变量转成分类变量，截断值怎么定才合理？,我想把年龄分成高低两组，截断值定多少合理？自己随便定行吗？,医生想把连续变量分组分析，但不知道截断值的设定依据，怕自己随便定被审稿人质疑。,是（已有待分析数据）
,,一致性检查与逻辑校验,怎么快速找出数据里的逻辑错误？,几百条数据怎么快速找出逻辑矛盾的地方？人工查太慢了。,数据量大，人工核查效率低，医生想通过方法快速定位逻辑矛盾的数据。,是（已有待分析数据）
,,一致性检查与逻辑校验,不同来源的数据对不上，以哪个为准？,两个系统出来的同一个指标不一样，应该以哪个为准？,不同系统的同一指标数值有差异，医生不知道该采信哪一个，怕标准不统一影响结果。,是（已有多源数据）
,,数据整合与格式化,多个表格的数据怎么合并成一个分析集？,数据分散在好几个 Excel 表里，怎么合并成一个分析用的表格？,数据分散在多个表中，医生不会用工具批量合并，手动合并又容易出错。,是（已有多表数据）
,,数据整合与格式化,统计分析要求什么格式的数据？,SPSS 做统计要求什么格式的数据？我要提前整理好。,医生准备自己做统计，不清楚软件要求的数据格式。,否（方法规范咨询）
数据分析 - 数据统计执行,统计软件选择与环境配置,-,用 SPSS 还是 R 分析？哪种结果期刊更认可？,做统计用 SPSS 还是 R？期刊会不会觉得用 SPSS 不专业？,医生在选择统计工具，担心用简单的 SPSS 会被认为不专业，影响发表。,否（工具选择咨询）
,,-,不会写代码，只用 SPSS 能发核心 / SCI 吗？,我不会写代码，只会用 SPSS，能发北大核心或者 SCI 吗？,医生没有编程基础，只会用 SPSS，不确定能不能满足高级别期刊的统计要求。,否（能力评估咨询）
,分析脚本与代码管理,-,统计分析必须保留代码吗？审稿人会不会要？,我用 SPSS 点选操作的，没有代码，审稿人会不会索要代码？,医生用软件点选操作，没有代码记录，担心审稿人索要代码无法提供。,是（已完成统计分析）
,,-,分析过程怎么记录才能保证可重复？,分析过程怎么记录，后面返修的时候能复现结果？,医生想让研究更严谨，同时怕返修时需要重新分析，找不到之前的参数设置。,是（正在做统计分析）
,统计分析计划的执行,-,统计分析计划（SAP）必须提前写好吗？中途改方法算不算学术不端？,统计方法可以边做边调整吗？还是必须提前定好？中途改算不算学术不端？,医生不清楚统计规范，习惯边分析边调整方法，担心属于学术不端行为。,否（规范咨询）
,,-,结果是阴性的，能不能换统计方法调出阳性结果？,结果是阴性的，我换一种统计方法能不能调出阳性？这样做行不行？,得到阴性结果后，医生觉得不好发表，想通过换方法得到阳性结果，抱有侥幸心理。,是（已有统计结果）
,,-,PSM、多因素回归、IPTW，控制混杂我该选哪个？,回顾性研究控制混杂因素，用 PSM、多因素回归还是 IPTW？哪个更好？,回顾性研究混杂因素多，医生知道需要控制混杂，但不清楚各种方法的适用场景。,是（有待分析的回顾性数据）
,,-,列线图、校准曲线、决策曲线这些加分项，是不是必须做？,听说列线图、决策曲线能提升中稿率，我这个研究有必要做吗？,医生听说加这些高级统计图能提升中稿率，想补充但又怕增加工作量，不确定性价比。,是（已有基础统计结果）
,,-,亚组分析做多了会不会被说 “钓鱼”？,主要结果是阴性，我做好几个亚组分析找阳性，会不会被说 P 值钓鱼？,主要结果阴性，医生想通过多个亚组分析找阳性结果，担心被审稿人质疑。,是（已有初步统计结果）
,结果记录与输出,-,统计结果怎么呈现才规范？表格和图有什么标准？,统计结果怎么整理成论文里的表格和图？有什么规范要求？,医生第一次整理统计结果，不清楚学术论文图表的规范格式。,是（已有统计结果）
,,-,P 值怎么标注？显著性水平怎么写才不会错？,P 值怎么标注才规范？是写 P<0.05 还是写具体数值？,医生对统计符号的书写规范不熟悉，怕格式错误显得不专业。,否（规范咨询）
,,-,统计学符号的大小写、斜体有什么规范要求？,统计学符号比如 P、t、卡方，大小写和正斜体有什么要求？,医生不清楚期刊对统计符号的格式要求，怕格式错误被退修。,否（规范咨询）
论文撰写 (Manuscript Writing),标题 (Title),-,标题要写多长？要不要把研究方法和结果都放进去？,论文标题写多长合适？要不要把研究方法和结果都写进去？,医生第一次拟标题，把握不好详略程度，怕太简单没信息量，或太冗长不符合要求。,否（写作规范咨询）
,,-,标题怎么写才能吸引编辑，提高初审通过率？,标题怎么写能吸引编辑？提高初审通过率。,医生知道初审时间极短，希望标题能快速抓住编辑注意力，避免直接被筛掉。,否（写作技巧咨询）
,摘要 (Abstract),-,结构式摘要每部分分别写什么？有字数限制吗？,结构式摘要的目的、方法、结果、结论分别写什么？一般要求多少字？,医生不熟悉期刊摘要的格式要求，怕内容缺项或字数超标被退修。,否（写作规范咨询）
,,-,怎么在摘要里突出创新点，又不超字数？,摘要字数有限，怎么突出创新点又不超字数？,医生想在摘要里体现研究价值，但摘要字数限制严格，不知道如何取舍内容。,是（已有完整研究内容）
,引言 (Introduction),-,引言写几段合适？怎么铺垫才不啰嗦？,引言写几段比较合适？怎么写不啰嗦又能说清楚背景？,医生写引言容易堆砌文献，逻辑混乱，不知道如何层层递进引出研究问题。,否（写作规范咨询）
,,-,研究缺口一定要在引言最后点明吗？,研究缺口必须放在引言最后一段吗？,医生不清楚引言的标准写作逻辑，怕结构不对影响编辑对文章的第一印象。,否（写作规范咨询）
,方法 (Methods),-,方法部分要细到什么程度？统计方法写错了会不会直接拒稿？,方法部分要写到多细？统计方法写错了会不会直接被拒稿？,医生知道方法是审稿重点，担心描述不够详细或统计方法选错，导致直接被拒。,否（写作规范咨询）
,,-,伦理、知情同意这些必须写吗？回顾性研究怎么写？,伦理和知情同意必须写在方法里吗？回顾性研究怎么写？,医生不清楚伦理声明的规范表述，怕写得不对被质疑合规性。,否（写作规范咨询）
,,-,方法部分可以引用别人的描述吗？会不会算抄袭？,方法部分参考别人文献里的描述行不行？会不会算抄袭？,医生觉得同类研究的方法描述很标准，想直接参考套用，担心重复率过高算抄袭。,否（学术规范咨询）
,结果 (Results),-,结果按什么顺序写？要不要把阳性结果放最前面？,结果部分按什么顺序写？把阳性结果放前面会不会好一点？,医生想把好结果放在前面提升印象分，但不确定是否符合学术写作的客观原则。,是（已有统计结果）
,,-,阴性结果怎么写才不会显得研究没价值？,结果是阴性的，怎么写才不会显得研究没价值？,得到阴性结果，医生担心文章不好发，想通过写作技巧弱化负面感受，同时体现研究价值。,是（已有阴性统计结果）
,讨论 (Discussion),-,讨论怎么写不像是重复结果？,讨论怎么写才不是重复结果？总感觉和结果部分差不多。,医生写讨论容易复述结果，没有深度，不知道如何升华内容。,否（写作技巧咨询）
,,-,怎么和前人研究对比？不会写怎么办？,讨论里怎么和前人研究对比？我不会写怎么办？,医生文献积累少，不知道如何将自己的结果与已有研究结合分析，讨论部分空洞。,是（已有研究结果）
,,-,研究局限性要不要写？写了会不会影响录用？,研究局限性要不要写？写了会不会让审稿人觉得缺陷太多而拒稿？,医生担心写出局限性会让审稿人觉得研究缺陷太多，从而拒稿，纠结要不要如实写。,是（已有完整研究内容）
,参考文献 (References),-,参考文献多少篇合适？必须要近 3 年的吗？,参考文献放多少篇合适？是不是都要近 3 年的？,医生不清楚参考文献的数量和时效性要求，怕太少显得研究基础薄弱，太老显得不前沿。,否（写作规范咨询）
,,-,不同期刊格式不一样，有没有办法批量统一？,转投期刊要改参考文献格式，有没有办法一键统一？,转投不同期刊时，手动改参考文献格式工作量大，医生想找高效方法。,是（已有论文初稿）
,,-,引用中文文献会不会拉低论文水平？,投 SCI 引用中文文献会不会拉低论文水平？尽量少引吗？,投 SCI 期刊时，医生担心中文引用多会被审稿人认为研究视野窄，影响评价。,否（写作规范咨询）
,,-,引用自己的论文算不算重复？自引多了会不会有问题？,引用自己之前的论文算不算重复？自引多了会不会不好？,医生在延续自己的研究方向，需要引用自己之前的成果，担心自引率过高被质疑。,否（学术规范咨询）
,,-,参考文献可以随便编几个吗？,找不到对应的文献，能不能随便编几个参考文献？,医生找不到对应文献，或想偷懒，抱有侥幸心理，不清楚伪造参考文献的严重后果。,否（学术规范咨询）
,作者与合规相关,作者署名与基金标注,作者排序有什么规矩？共一、通讯作者怎么认定？,作者排序有什么讲究？共同一作和通讯作者怎么定？,多人合作研究，医生不清楚学术圈署名规则，担心署名纠纷。,否（规范咨询）
,,作者署名与基金标注,投稿后还能加作者、改作者顺序吗？,投稿之后还能加作者或者改顺序吗？会不会很麻烦？,投稿后出现人员变动或贡献调整，医生想修改作者信息，又怕期刊不同意。,是（已投稿 / 有初稿）
,,作者署名与基金标注,基金项目号怎么标注？可以挂多个基金吗？,基金号怎么标注？一篇论文可以挂好几个基金项目吗？,医生有多个课题基金，想都挂在论文上，同时完成多个课题的结题指标。,是（已有论文初稿）
,,学术规范,论文查重率要低于多少才安全？,论文查重率要低于多少才算合格？核心期刊一般要求多少？,医生写完初稿准备查重，不清楚期刊的合格标准，担心重复率超标。,是（已有论文初稿）
,,学术规范,降重怎么降才不会改变原意，又能通过查重？,查重率超标了，怎么降重不改变原意又能通过？,查重率超标，医生不知道降重的正确方法，怕改完语句不通顺、专业术语错误。,是（已有查重结果）
,,学术规范,图表可以直接用别人文献里的吗？,我想引用别人文献里的一张图，可以直接用吗？会不会侵权？,医生想在引言或讨论里引用别人的图表，不清楚版权规则，怕侵权。,否（版权规范咨询）
投稿与同行评审 (Submission & Peer Review),选刊,-,我的文章适合投哪些期刊？命中率高、审稿快的有哪些？,我这篇胃癌预后的研究，适合投哪些核心期刊？审稿快、命中率高一点的。,医生写完论文，对目标期刊没有明确认知，想快速匹配适配的期刊。,是（已有完稿论文）
,,-,怎么查期刊是不是北大核心 / 科技核心 / SCI？是不是预警期刊？,怎么查一本期刊是不是北大核心？有没有在预警名单里？,医生评职称有明确的期刊级别要求，怕投到预警期刊或不被单位认可的期刊。,否（期刊信息咨询）
,,-,投低分 SCI 还是中文核心，评职称更有用？,评副高的话，投低分 SCI 还是北大核心更有用？,医生在两个选择间权衡，想知道单位评审的赋分规则，选择性价比最高的方案。,否（选刊决策咨询）
,,-,中科院分区和 JCR 分区有什么区别？单位看哪个？,中科院分区和 JCR 分区有啥区别？我们单位一般看哪个？,医生不清楚两种分区的差异，不确定本单位职称评审以哪个为准。,否（期刊知识咨询）
,格式排版,-,期刊格式要求太多，有没有快速调整的办法？,转投期刊要重新排版，有没有快速调整格式的办法？,转投期刊需要重新排版，医生觉得格式调整耗时费力，想提高效率。,是（已有论文初稿）
,,-,图表格式、参考文献格式错了会不会直接过不了初审？,图表和参考文献格式错了，会不会初审直接被拒？,医生担心格式不规范导致初审直接被拒，耽误时间。,否（投稿规范咨询）
,Cover Letter,-,Cover Letter 必须写吗？要包含哪些内容？,投 SCI 必须写 Cover Letter 吗？里面要写什么内容？,第一次投外文期刊，医生不清楚投稿材料要求，怕遗漏必要文件。,否（投稿规范咨询）
,,-,怎么写 Cover Letter 能给编辑留好印象？,Cover Letter 怎么写能给编辑留好印象？增加送审概率？,医生希望通过 Cover Letter 提升编辑对文章的好感，增加送审概率。,是（准备投稿）
,提交系统,-,投稿系统太复杂，填错信息会不会影响审稿？,投稿系统好多栏目，填错信息会不会影响审稿？,投稿系统栏目多、全英文，医生怕填错关键信息，导致后续麻烦。,否（操作咨询）
,,-,推荐审稿人怎么选？要不要避嫌？,推荐审稿人怎么选？同学院的老师能推荐吗？要不要避嫌？,不清楚推荐审稿人的规则，怕选了有利益关系的人被判定学术不端。,否（投稿规范咨询）
,,-,投稿时需要上传原始数据吗？,投稿的时候必须上传原始数据吗？我不想公开可以吗？,医生担心期刊要求公开原始数据，自己的数据不方便公开，提前了解要求。,否（投稿规范咨询）
,应对审稿意见,-,大修和小修分别是什么意思？录用概率大概多少？,收到大修意见，录用概率大概有多少？和小修有啥区别？,第一次收到返修意见，医生心里没底，想知道录用的可能性，评估后续工作量。,是（已收到审稿意见）
,,-,审稿人意见我答不上来 / 补不了实验怎么办？,审稿人让我补基础实验，但我根本没条件补，怎么办？,审稿人要求补充实验或数据，但医生没有条件完成，担心因此被拒稿。,是（已收到审稿意见）
