科研状态阶段,核心特征,核心诉求,具体问题
选题与方案设计期（有方向 / 原始数据，未定最终方案）,已锁定大致疾病方向，或持有一批回顾性病案 / 随访 / 检验数据；研究设计尚未定型，正在权衡不同方案优劣；围绕可行性、样本量、合规性反复确认细节,确定适配自身数据的最优研究设计，明确方案细节，验证创新性与可行性，确认合规边界,XX 例样本够不够发核心期刊？
选题与方案设计期（有方向 / 原始数据，未定最终方案）,已锁定大致疾病方向，或持有一批回顾性病案 / 随访 / 检验数据；研究设计尚未定型，正在权衡不同方案优劣；围绕可行性、样本量、合规性反复确认细节,确定适配自身数据的最优研究设计，明确方案细节，验证创新性与可行性，确认合规边界,样本量怎么计算？有没有简单工具？
选题与方案设计期（有方向 / 原始数据，未定最终方案）,已锁定大致疾病方向，或持有一批回顾性病案 / 随访 / 检验数据；研究设计尚未定型，正在权衡不同方案优劣；围绕可行性、样本量、合规性反复确认细节,确定适配自身数据的最优研究设计，明确方案细节，验证创新性与可行性，确认合规边界,随访时间短会不会影响研究结论？
选题与方案设计期（有方向 / 原始数据，未定最终方案）,已锁定大致疾病方向，或持有一批回顾性病案 / 随访 / 检验数据；研究设计尚未定型，正在权衡不同方案优劣；围绕可行性、样本量、合规性反复确认细节,确定适配自身数据的最优研究设计，明确方案细节，验证创新性与可行性，确认合规边界,怎么快速查选题有没有人做过？
选题与方案设计期（有方向 / 原始数据，未定最终方案）,已锁定大致疾病方向，或持有一批回顾性病案 / 随访 / 检验数据；研究设计尚未定型，正在权衡不同方案优劣；围绕可行性、样本量、合规性反复确认细节,确定适配自身数据的最优研究设计，明确方案细节，验证创新性与可行性，确认合规边界,选题已经有人做过还能再发吗？
选题与方案设计期（有方向 / 原始数据，未定最终方案）,已锁定大致疾病方向，或持有一批回顾性病案 / 随访 / 检验数据；研究设计尚未定型，正在权衡不同方案优劣；围绕可行性、样本量、合规性反复确认细节,确定适配自身数据的最优研究设计，明确方案细节，验证创新性与可行性，确认合规边界,怎么从文献里找到研究缺口？
选题与方案设计期（有方向 / 原始数据，未定最终方案）,已锁定大致疾病方向，或持有一批回顾性病案 / 随访 / 检验数据；研究设计尚未定型，正在权衡不同方案优劣；围绕可行性、样本量、合规性反复确认细节,确定适配自身数据的最优研究设计，明确方案细节，验证创新性与可行性，确认合规边界,回顾性研究要不要过伦理？
选题与方案设计期（有方向 / 原始数据，未定最终方案）,已锁定大致疾病方向，或持有一批回顾性病案 / 随访 / 检验数据；研究设计尚未定型，正在权衡不同方案优劣；围绕可行性、样本量、合规性反复确认细节,确定适配自身数据的最优研究设计，明确方案细节，验证创新性与可行性，确认合规边界,临床试验注册是强制的吗？
选题与方案设计期（有方向 / 原始数据，未定最终方案）,已锁定大致疾病方向，或持有一批回顾性病案 / 随访 / 检验数据；研究设计尚未定型，正在权衡不同方案优劣；围绕可行性、样本量、合规性反复确认细节,确定适配自身数据的最优研究设计，明确方案细节，验证创新性与可行性，确认合规边界,从医院导出数据要走什么流程？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,用 Excel 录数据行不行？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,怎么保证数据录入不出错？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,患者招募进度慢怎么提速？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,患者信息怎么脱敏才合规？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,数据能带回家处理吗？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,数据匿名化后是不是就不用过伦理了？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,缺失值直接删掉还是填补？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,异常值怎么判断和处理？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,错误值、逻辑矛盾值怎么修正？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,多来源数据对不上以哪个为准？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,怎么统一数据标准？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,怎么整理成统计软件可用的格式？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,失访率控制在多少以内期刊可接受？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,失访病例怎么处理？
数据收集与预处理期（方案已定，未形成分析集）,研究方案已确定，正在招募 / 提取数据，或已拿到原始零散数据；数据不规范、质量参差不齐；高度关注数据合规性、质控方法与整理标准,完成数据的合规收集、质量控制与结构化整理，输出符合统计要求的标准分析数据集,随访时间不够长能不能写论文？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,统计用 SPSS 还是 R？期刊更认可哪个？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,不会写代码，只用 SPSS 能发核心 / SCI 吗？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,统计分析必须保留代码吗？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,基线资料比较用什么方法？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,找危险因素用 logistic 还是 Cox 回归？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,控制混杂用 PSM 还是多因素回归？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,数据不符合正态分布怎么办？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,亚组分析是提前预设还是事后做？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,亚组分析做多了会不会被质疑 P 值操纵？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,阴性结果还能发论文吗？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,能不能换统计方法调出阳性结果？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,结果和预期不一样是不是方法选错了？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,列线图、校准曲线、决策曲线有必要做吗？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,加高级统计图能不能提升中稿率？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,统计结果怎么整理成规范的表格和图？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,P 值怎么标注才规范？
统计分析攻坚期（数据已清洗，正在统计与解读）,已完成数据清洗，进入统计分析环节，或已拿到初步统计结果；统计基础薄弱，不会选方法、不会解读结果；阴性结果出现时焦虑感显著增强,选对统计方法，正确解读结果，规范呈现图表，必要时通过进阶分析提升研究深度,统计学符号的大小写、正斜体有什么格式要求？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,论文标题写多长合适？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,标题怎么写能吸引编辑、提高初审通过率？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,结构式摘要每部分分别写什么？有字数限制吗？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,怎么在摘要里突出创新点又不超字数？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,引言写几段合适？怎么铺垫才不啰嗦？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,研究缺口一定要放在引言最后吗？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,方法部分要写到多细才算规范？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,统计方法写错了会不会直接被拒稿？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,回顾性研究的伦理声明怎么写？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,方法部分引用别人的描述算不算抄袭？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,结果部分按什么顺序写？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,阴性结果怎么写才能体现临床价值？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,讨论怎么写才不会重复结果部分？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,讨论里怎么和前人研究做对比？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,研究局限性要不要写？写了会不会影响录用？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,参考文献放多少篇合适？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,参考文献必须用近 3 年的吗？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,不同期刊的参考文献格式怎么批量修改？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,引用中文文献会不会拉低论文水平？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,自引多了会不会有问题？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,作者排序有什么规则？共一、通讯怎么认定？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,基金项目号怎么标注？可以挂多个基金吗？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,期刊查重率要求低于多少才安全？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,怎么降重才能不改变原意？
论文撰写打磨期（结果已出，正在写作 / 优化初稿）,统计结果已全部产出，正在撰写全文或优化初稿；不熟悉学术写作规范与各部分逻辑；担心查重、抄袭等合规问题,写出符合期刊规范的学术论文，结构完整、逻辑通顺、重复率达标，有效突出研究价值,伪造参考文献会不会被发现？
投稿与同行评审期（定稿后，选刊→投稿→返修→结果）,论文已定稿，进入投稿全流程；等待审稿期普遍焦虑，收到返修 / 拒稿时情绪波动大；核心关注 “能不能中、赶不赶得上截止”,精准匹配期刊，提高初审通过率，妥善应对审稿意见，最大化录用概率，控制时间成本,我的文章适合投哪些期刊？
